"id_cell","Layer","radius","centroidx","centroidy","n_vertices","vert1x","vert2x","vert3x","vert4x","vert5x","vert6x","vert7x","vert8x","vert9x","vert10x","vert11x","vert1y","vert2y","vert3y","vert4y","vert5y","vert6y","vert7y","vert8y","vert9y","vert10y","vert11y"
167,10,1.98943678864869,15.891083,9.03773,6,17.173673,15.875971,15.743842,16.488702,17.269016,17.389719,NA,NA,NA,NA,NA,9.404838,10.031331,8.481713,7.806218,8.094185,8.416185,NA,NA,NA,NA,NA
168,10,1.98943678864869,22.851981,6.341067,8,23.770683,23.059854,22.447499,21.260989,22.169034,22.428152,22.617038,23.546225,NA,NA,NA,6.206395,7.056132,7.068318,6.651807,4.859385,4.670235,4.718132,5.351319,NA,NA,NA
169,10,1.98943678864869,21.16506,2.323493,4,22.048368,20.871468,20.06984,20.090944,NA,NA,NA,NA,NA,NA,NA,1.947505,2.894346,1.761765,1.154046,NA,NA,NA,NA,NA,NA,NA
170,10,1.98943678864869,15.506809,3.722043,5,14.950273,15.290377,15.332169,16.405538,16.4173,NA,NA,NA,NA,NA,NA,4.813827,3.155536,3.140943,3.414449,3.441588,NA,NA,NA,NA,NA,NA
171,10,1.98943678864869,13.03736,14.594602,5,13.544059,13.221953,12.31941,12.139526,13.114084,NA,NA,NA,NA,NA,NA,15.130636,15.279707,14.685249,14.126443,14.078175,NA,NA,NA,NA,NA,NA
172,10,1.98943678864869,14.255989,8.237441,4,14.156316,13.626708,14.752807,14.737357,NA,NA,NA,NA,NA,NA,NA,9.431109,8.77764,7.771136,8.107713,NA,NA,NA,NA,NA,NA,NA
173,10,1.98943678864869,15.204818,8.280994,8,16.488702,15.743842,15.404233,14.737357,14.752807,14.771792,15.384238,15.484771,NA,NA,NA,7.806218,8.481713,8.695952,8.107713,7.771136,7.501203,6.852802,6.896995,NA,NA,NA
174,10,1.98943678864869,18.492482,9.606203,5,19.495452,17.504263,17.173673,17.389719,20.125497,NA,NA,NA,NA,NA,NA,10.374878,9.991171,9.404838,8.416185,9.113722,NA,NA,NA,NA,NA,NA
175,10,1.98943678864869,14.967629,8.549889,4,14.409972,14.156316,14.737357,15.404233,NA,NA,NA,NA,NA,NA,NA,10.12454,9.431109,8.107713,8.695952,NA,NA,NA,NA,NA,NA,NA
176,10,1.98943678864869,21.491948,2.729807,7,22.310653,20.908568,20.871468,22.048368,22.750175,22.797778,22.805055,NA,NA,NA,NA,3.797287,3.079597,2.894346,1.947505,2.025056,2.1206,2.251926,NA,NA,NA,NA
177,10,1.98943678864869,12.598559,16.493588,4,13.518517,12.213498,12.266056,13.243023,NA,NA,NA,NA,NA,NA,NA,16.841682,16.717253,16.495404,16.392765,NA,NA,NA,NA,NA,NA,NA
178,10,1.98943678864869,17.193625,11.846085,6,17.659888,15.137902,15.022694,14.860476,17.454825,17.895023,NA,NA,NA,NA,NA,12.160183,12.667529,12.544496,12.149058,11.010887,11.433462,NA,NA,NA,NA,NA
179,10,1.98943678864869,18.930096,15.88794,5,18.140654,17.933072,18.27832,18.680308,19.775559,NA,NA,NA,NA,NA,NA,17.12782,16.998708,15.393972,15.0528,15.769397,NA,NA,NA,NA,NA,NA
180,10,1.98943678864869,12.519632,15.380649,5,13.221953,13.097747,12.367736,12.134166,12.31941,NA,NA,NA,NA,NA,NA,15.279707,15.563791,15.523493,15.127589,14.685249,NA,NA,NA,NA,NA,NA
181,10,1.98943678864869,19.77005,18.361128,7,20.484742,20.102178,19.760141,18.571162,18.56667,20.441685,20.635488,NA,NA,NA,NA,18.08317,18.67253,19.14054,18.097918,17.629678,17.349954,17.554938,NA,NA,NA,NA
182,10,1.98943678864869,14.473815,17.252596,7,13.436027,13.291671,13.544987,15.187496,15.569942,15.702241,16.16917,NA,NA,NA,NA,19.100821,18.873175,16.866525,15.862338,15.819406,15.92072,16.758329,NA,NA,NA,NA
183,10,1.98943678864869,16.987854,6.339505,4,17.776577,16.614234,17.273728,18.661019,NA,NA,NA,NA,NA,NA,NA,7.344771,6.090182,5.331269,6.244973,NA,NA,NA,NA,NA,NA,NA
184,10,1.98943678864869,20.570398,5.185212,7,21.260989,20.61555,19.078253,19.272151,20.231165,21.993979,22.169034,NA,NA,NA,NA,6.651807,7.066786,6.136365,5.200937,4.439089,4.810888,4.859385,NA,NA,NA,NA
