"id_cell","Layer","radius","centroidx","centroidy","n_vertices","vert1x","vert2x","vert3x","vert4x","vert5x","vert6x","vert7x","vert8x","vert9x","vert10x","vert11x","vert1y","vert2y","vert3y","vert4y","vert5y","vert6y","vert7y","vert8y","vert9y","vert10y","vert11y"
191,1,0.795774715459477,6.056012,14.355729,7,6.269383,6.054583,5.77429,5.802782,6.001685,6.650322,6.751461,NA,NA,NA,NA,14.888374,14.843987,14.573361,13.580688,13.524702,13.930285,14.077407,NA,NA,NA,NA
192,1,0.795774715459477,5.008368,7.698939,7,5.511515,5.104614,4.750063,4.473912,4.344708,5.097675,5.369766,NA,NA,NA,NA,7.956216,8.350046,8.397694,8.240124,7.658142,7.103272,7.096873,NA,NA,NA,NA
193,1,0.795774715459477,8.958383,1.856002,5,9.112795,8.971583,8.238297,8.44991,9.271327,NA,NA,NA,NA,NA,NA,2.286878,2.333634,1.524605,1.08398,0.753442,NA,NA,NA,NA,NA,NA
194,1,0.795774715459477,9.465406,18.903935,5,10.270647,9.535625,8.759939,9.057237,10.315098,NA,NA,NA,NA,NA,NA,19.016775,19.448514,18.957036,18.199559,18.73417,NA,NA,NA,NA,NA,NA
195,1,0.795774715459477,9.266861,5.75921,6,9.715786,9.353832,9.146516,8.596006,8.893339,9.405968,NA,NA,NA,NA,NA,6.048562,6.391466,6.430418,6.107517,5.227721,5.27813,NA,NA,NA,NA,NA
196,1,0.795774715459477,9.31121,12.459261,6,9.756797,9.049888,8.916877,8.82257,9.347321,9.587433,NA,NA,NA,NA,NA,12.815098,13.031677,12.99109,12.34524,11.787797,11.880501,NA,NA,NA,NA,NA
197,1,0.795774715459477,7.243437,2.245742,8,7.864516,7.291821,6.741999,6.42412,6.056653,6.055702,7.4799,7.87987,NA,NA,NA,2.527717,2.977416,2.865597,2.493116,1.931837,1.894449,1.732592,1.838919,NA,NA,NA
198,1,0.795774715459477,6.954531,16.990728,7,7.79948,7.287577,6.701867,6.541071,6.564859,7.544527,7.781842,NA,NA,NA,NA,16.911944,17.590323,17.463194,16.435829,16.42625,16.550395,16.821327,NA,NA,NA,NA
199,1,0.795774715459477,9.50228,7.01217,5,10.097675,9.344708,8.985789,9.146516,9.353832,NA,NA,NA,NA,NA,NA,7.103272,7.658142,7.381954,6.430418,6.391466,NA,NA,NA,NA,NA,NA
200,1,0.795774715459477,8.05873,16.023534,6,8.639996,7.781842,7.544527,7.589748,8.09298,8.555847,NA,NA,NA,NA,NA,16.084277,16.821327,16.550395,15.605989,15.444638,15.835414,NA,NA,NA,NA,NA
101,2,1.39260575205408,11.852069,13.209694,5,12.041411,11.4671,10.838084,11.525146,12.498481,NA,NA,NA,NA,NA,NA,14.006026,14.04758,13.35928,12.445583,12.779397,NA,NA,NA,NA,NA,NA
102,2,1.39260575205408,11.99011,6.746229,6,11.736329,11.622696,11.309711,12.105713,12.592603,12.794717,NA,NA,NA,NA,NA,7.720712,7.661379,6.453157,5.989927,6.089911,6.766861,NA,NA,NA,NA,NA
103,2,1.39260575205408,12.297512,5.249273,6,13.251399,12.592603,12.105713,11.645598,12.167782,12.654413,NA,NA,NA,NA,NA,5.36917,6.089911,5.989927,5.097827,4.445807,4.411234,NA,NA,NA,NA,NA
104,2,1.39260575205408,15.773138,19.617605,5,16.611362,16.588167,14.825986,14.872967,15.548336,NA,NA,NA,NA,NA,NA,19.751487,20,20,19.308682,18.572796,NA,NA,NA,NA,NA,NA
105,2,1.39260575205408,10.700315,12.343622,5,10.838084,10.660946,10.004566,11.371922,11.525146,NA,NA,NA,NA,NA,NA,13.35928,13.350274,12.056172,11.654733,12.445583,NA,NA,NA,NA,NA,NA
106,2,1.39260575205408,17.357647,3.919742,6,18.165528,18.299879,17.196112,16.33847,16.969396,17.447268,NA,NA,NA,NA,NA,3.954062,4.811536,4.71641,3.74644,3.124955,3.108744,NA,NA,NA,NA,NA
107,2,1.39260575205408,17.127007,2.158741,5,16.814865,16.622185,17.444932,18.613481,18.774162,NA,NA,NA,NA,NA,NA,2.711106,2.388925,0,0,0.36587,NA,NA,NA,NA,NA,NA
108,2,1.39260575205408,14.427025,8.911932,5,14.733911,13.770728,13.799126,14.572864,15.264657,NA,NA,NA,NA,NA,NA,9.645797,9.15861,8.371487,8.148137,8.816378,NA,NA,NA,NA,NA,NA
109,2,1.39260575205408,13.718438,18.509078,5,14.145266,12.633466,12.562439,12.854764,14.077761,NA,NA,NA,NA,NA,NA,18.93001,19.269336,18.97375,17.869735,18.196331,NA,NA,NA,NA,NA,NA
110,2,1.39260575205408,8.836069,12.325528,6,8.992481,8.219789,8.149632,9.18748,9.521452,9.640907,NA,NA,NA,NA,NA,13.281193,12.676757,11.999248,11.523644,11.676811,11.892005,NA,NA,NA,NA,NA
111,2,1.39260575205408,10.625383,19.156579,5,11.06381,9.840108,9.446553,9.548371,10.930971,NA,NA,NA,NA,NA,NA,20,20,18.781075,18.591754,18.707448,NA,NA,NA,NA,NA,NA
112,2,1.39260575205408,10.259147,15.292821,6,10.439771,9.761683,9.254578,9.17482,10.261398,10.994154,NA,NA,NA,NA,NA,16.287744,16.587796,16.175432,16.07057,14.763817,15.028798,NA,NA,NA,NA,NA
113,2,1.39260575205408,15.331152,7.97594,6,15.43314,15.264657,14.572864,14.766871,15.823164,16.336878,NA,NA,NA,NA,NA,8.796082,8.816378,8.148137,7.517372,7.28276,7.974541,NA,NA,NA,NA,NA
114,2,1.39260575205408,12.731864,7.569275,6,13.383192,12.152863,12.144982,11.736329,12.794717,13.390792,NA,NA,NA,NA,NA,8.077583,8.459258,8.456372,7.720712,6.766861,7.109358,NA,NA,NA,NA,NA
115,2,1.39260575205408,16.180552,2.724766,8,16.969396,16.33847,15.848286,15.281512,15.514959,15.999627,16.622185,16.814865,NA,NA,NA,3.124955,3.74644,3.795379,3.208111,2.530209,2.24938,2.388925,2.711106,NA,NA,NA
116,2,1.39260575205408,14.493372,0.174944,6,14.825262,14.303405,13.468234,13.450672,16.382059,16.115376,NA,NA,NA,NA,NA,1.198571,1.292394,0.186914,0,0,0.290075,NA,NA,NA,NA,NA
